date, precipitation
6/21/2017,0.28979525
6/22/2017,0.076854169
6/23/2017,0.146847978
6/24/2017,0.185230881
6/25/2017,0.097836934
6/26/2017,0.689296901
6/27/2017,2.75596213
6/28/2017,4.2037673
6/29/2017,2.16087103
6/30/2017,0.605768383
7/1/2017,0.080665715
7/2/2017,0.988650262
7/3/2017,1.00089729
7/4/2017,0.759223878
7/5/2017,0.651515901
7/6/2017,0.976545334
7/7/2017,0.053724621
7/8/2017,0.092824824
7/9/2017,0.18911688
7/10/2017,0.630958259
7/11/2017,0.18145369
7/12/2017,0.176903829
7/13/2017,0.377696246
7/14/2017,1.42387295
7/15/2017,1.31712568
7/16/2017,0.973344564
7/17/2017,1.17774248
7/18/2017,0.744626999
7/19/2017,0.79864639
7/20/2017,0.665832162
7/21/2017,0.181620121
7/22/2017,0.035952132
7/23/2017,0.237596437
7/24/2017,0.036154598
7/25/2017,0.560649812
7/26/2017,0.268568009
7/27/2017,2.82076788
7/28/2017,0.417112648
7/29/2017,0.732666492
7/30/2017,4.27663708
7/31/2017,4.55694151
8/1/2017,0.113240242
8/2/2017,4.17137527
8/3/2017,12.3902111
8/4/2017,0.677630782
8/5/2017,0.493688971
8/6/2017,1.1935401
8/7/2017,1.51467264
8/8/2017,0.37486729
8/9/2017,0.205849513
8/10/2017,0.310041994
8/11/2017,0.246845767
8/12/2017,0.247239783
8/13/2017,0.097050816
8/14/2017,1.53493273
8/15/2017,7.80043125
8/16/2017,0.398340106
8/17/2017,0.708929837
8/18/2017,2.02801299
8/19/2017,1.3465364
8/20/2017,1.07937658
8/21/2017,1.09344935
8/22/2017,0.024468053
8/23/2017,0.813941658
8/24/2017,0.638638139
8/25/2017,0.15599893
8/26/2017,0.072806962
8/27/2017,3.33500671
8/28/2017,0.225466162
8/29/2017,0.169969365
8/30/2017,0.39918828
8/31/2017,0.156274065
9/1/2017,0.086239509
9/2/2017,0.934591532
9/3/2017,0.420467407
9/4/2017,0.350571245
9/5/2017,0.544017136
9/6/2017,0.242139161
9/7/2017,0.304507375
9/8/2017,0.766165793
9/9/2017,0.205978811
9/10/2017,0.042924415
9/11/2017,0.785531282
9/12/2017,0.471787959
9/13/2017,4.20795774
9/14/2017,0.991840661
9/15/2017,0.548616767
9/16/2017,0.675930738
9/17/2017,0.050153263
9/18/2017,1.11095083
9/19/2017,0.08820191
9/20/2017,0.031775113
9/21/2017,0.09743803
9/22/2017,0.156379923
9/23/2017,0.260227293
9/24/2017,0.270001352
9/25/2017,0.303482831
9/26/2017,0.037482813
9/27/2017,2.73381209
9/28/2017,0.595496416
9/29/2017,0.485350966
9/30/2017,0.653422117
10/1/2017,1.75173807
10/2/2017,4.31936169
10/3/2017,0.42885071
10/4/2017,0.357980698
10/5/2017,1.97595215
10/6/2017,0.661720991
10/7/2017,2.47695637
10/8/2017,6.77863789
10/9/2017,0.334379882
10/10/2017,0.516153097
10/11/2017,15.6335096
10/12/2017,0.202044204
10/13/2017,0.500813305
10/14/2017,1.76281905
10/15/2017,0.572433233
10/16/2017,0.304879606
10/17/2017,0.209596217
10/18/2017,0.452262819
10/19/2017,10.7889032
10/20/2017,7.04425621
10/21/2017,0.652820408
10/22/2017,0.643314779
10/23/2017,0.176103786
10/24/2017,1.90424192
10/25/2017,2.18430734
10/26/2017,4.4952035
10/27/2017,1.14115214
10/28/2017,4.01717949
10/29/2017,0.421006352
10/30/2017,2.66816235
10/31/2017,2.19348693
11/1/2017,0.786484241
11/2/2017,0.222184271
11/3/2017,0.904106081
11/4/2017,1.11989403
11/5/2017,7.59434462
11/6/2017,5.85133696
11/7/2017,0.325672865
11/8/2017,0.052315887
11/9/2017,0.059002399
11/10/2017,0.10532596
11/11/2017,0.228749901
11/12/2017,0.061688431
11/13/2017,0.313391179
11/14/2017,0.467797011
11/15/2017,4.65592146
11/16/2017,2.86734867
11/17/2017,4.57938576
11/18/2017,2.41326046
11/19/2017,0.101834431
