datetime, avg_next_24h, min_next_24h, max_next_24h, hd_next_24h, cd_next_24h
2018-10-08 04:00:00,16.4246376811594203,10.90,20.20,0.5753623188405797,0
2018-10-08 04:30:00,16.2985714285714286,10.20,20.20,0.7014285714285714,0
2018-10-08 05:00:00,16.1845070422535211,10.20,20.20,0.8154929577464789,0
2018-10-08 05:30:00,16.0791666666666667,10.20,20.20,0.9208333333333333,0
2018-10-08 06:00:00,15.9602739726027397,10.20,20.20,1.0397260273972603,0
2018-10-08 06:30:00,15.8851351351351351,10.20,20.20,1.1148648648648649,0
2018-10-08 07:00:00,15.8093333333333333,10.20,20.20,1.1906666666666667,0
2018-10-08 07:30:00,15.7592105263157895,10.20,20.20,1.2407894736842105,0
2018-10-08 08:00:00,15.7605263157894737,10.20,20.20,1.2394736842105263,0
2018-10-08 08:30:00,15.7763157894736842,10.20,20.20,1.2236842105263158,0
2018-10-08 09:00:00,15.7960526315789474,10.20,20.20,1.2039473684210526,0
2018-10-08 09:03:00,15.7720000000000000,10.20,20.20,1.2280000000000000,0
2018-10-08 09:21:00,15.7472972972972973,10.20,20.20,1.2527027027027027,0
2018-10-08 09:30:00,15.7743243243243243,10.20,20.40,1.2256756756756757,0
2018-10-08 10:00:00,15.8135135135135135,10.20,21.40,1.1864864864864865,0
2018-10-08 10:03:00,15.7698630136986301,10.20,21.40,1.2301369863013699,0
2018-10-08 10:30:00,15.8328767123287671,10.20,22.20,1.1671232876712329,0
2018-10-08 10:47:00,15.7763888888888889,10.20,22.20,1.2236111111111111,0
2018-10-08 11:00:00,15.8194444444444444,10.20,22.70,1.1805555555555556,0
2018-10-08 11:30:00,15.8763888888888889,10.20,23.70,1.1236111111111111,0
2018-10-08 11:39:00,15.8281690140845070,10.20,23.70,1.1718309859154930,0
2018-10-08 11:47:00,15.7757142857142857,10.20,23.70,1.2242857142857143,0
2018-10-08 12:00:00,15.8357142857142857,10.20,23.80,1.1642857142857143,0
2018-10-08 12:10:00,15.7753623188405797,10.20,23.80,1.2246376811594203,0
2018-10-08 12:30:00,15.8275362318840580,10.20,23.80,1.1724637681159420,0
2018-10-08 12:39:00,15.7691176470588235,10.20,23.80,1.2308823529411765,0
2018-10-08 13:00:00,15.8250000000000000,10.20,23.80,1.1750000000000000,0
2018-10-08 13:10:00,15.7701492537313433,10.20,23.80,1.2298507462686567,0
2018-10-08 13:30:00,15.8283582089552239,10.20,24.10,1.1716417910447761,0
2018-10-08 14:00:00,15.8626865671641791,10.20,24.10,1.1373134328358209,0
2018-10-08 14:30:00,15.9044776119402985,10.20,24.10,1.0955223880597015,0
2018-10-08 15:00:00,15.9522388059701493,10.20,24.10,1.0477611940298507,0
2018-10-08 15:06:00,15.9060606060606061,10.20,24.10,1.0939393939393939,0
2018-10-08 15:17:00,15.8707692307692308,10.20,24.10,1.1292307692307692,0
2018-10-08 15:30:00,15.9200000000000000,10.20,24.10,1.0800000000000000,0
2018-10-08 16:00:00,15.9584615384615385,10.20,24.10,1.0415384615384615,0
2018-10-08 16:06:00,15.9062500000000000,10.20,24.10,1.0937500000000000,0
2018-10-08 16:17:00,15.8698412698412698,10.20,24.10,1.1301587301587302,0
2018-10-08 16:30:00,15.9190476190476190,10.20,24.10,1.0809523809523810,0
